Description,Test_ID,anger,boredom,enthusiasm,fun,happiness,hate,love,neutral,relief,sadness,surprise,worry
i guess my boredom also stemmed from feeling dissatisfied,267486,0,1,0,0,0,0,0,0,0,0,0,0
i feel like i am angry all the time that i resent my family and that all i really want to do is get out of my house my minivan the monotony,268316,0,1,0,0,0,0,0,0,0,0,0,0
i feel i should use my boredom in a more productive manner and not just numb my brain with endless advertisements telling me what to spend my hard earned money on and horrific dumbed down tv programmes that drain my intelligence every second i mindlessly conform to watching them,282093,0,1,0,0,0,0,0,0,0,0,0,0
i was starting to feel anxious and trapped as i have been in a car for too much time over the past three months so i decided to break up the monotony by playing golf,286069,0,1,0,0,0,0,0,0,0,0,0,0
im not sure if kevin was struck with momentary insanity or absolute boredom or was feeling especially benevolent to his year old daughter but he agreed to watch high school musical even though he found high school musical excruciating to watch,290387,0,1,0,0,0,0,0,0,0,0,0,0
i feel vain when i do a ton of self portraits too but theyre usually out of boredom,298505,0,1,0,0,0,0,0,0,0,0,0,0
i like it although the mood is mellow and just a while ago i was feeling a bit disturbed mainly because of boredom,302681,0,1,0,0,0,0,0,0,0,0,0,0
i still think we need to talk about feelings and depression and boredom and withdrawl from people symptoms that my mom is exhibiting but then again maybe i will just ask her directly how she is feeling and not shy away from telling her what i am observing or worried about,305566,0,1,0,0,0,0,0,0,0,0,0,0
i wish i didnt feel so doomed to boredom and loneliness,307098,0,1,0,0,0,0,0,0,0,0,0,0
i want that chance to feel shaken out of the dull tedium of daily living,314162,0,1,0,0,0,0,0,0,0,0,0,0
i feel like an ugly teddy bear you took the stuffing from in boredom but maybe someone will come by and find a puppet cram a flashlight in the hole in me to say i glow or blow some other smoke up my ass,325314,0,1,0,0,0,0,0,0,0,0,0,0
i don t mind so much because it kinda breaks the monotony but i feel it s just sooo lame for the kids to be having tests all morning and then oh,325623,0,1,0,0,0,0,0,0,0,0,0,0
i need to feel productive cruising sounds tiresome in its monotony,325729,0,1,0,0,0,0,0,0,0,0,0,0
i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my,327958,0,1,0,0,0,0,0,0,0,0,0,0
i honestly just feel too awful to work but i really need to start saving money and i know ill go crazy with boredom,339460,0,1,0,0,0,0,0,0,0,0,0,0
i also feel rather resigned to the monotony and broken record feeling that i get during the weekdays,351936,0,1,0,0,0,0,0,0,0,0,0,0
i feel when i m out there for a super long run loneliness boredom goofiness super mood swings peace focus confidence the list goes on and for every runner it is different,361995,0,1,0,0,0,0,0,0,0,0,0,0
i feel its important to continue the engagement in the summer or maybe its simply out of sheer boredom but this summer cruz and i have started school,363255,0,1,0,0,0,0,0,0,0,0,0,0
i feel cold and stick and icky and all i want to do is go home and sleep but i can t because i have to be at work even though there isn t any work to do and there hasn t been all week and i m going insane from boredom,363681,0,1,0,0,0,0,0,0,0,0,0,0
i can feel rest assured that a hospital is just a walking distance away in case i fail to kill myself due to boredom,365696,0,1,0,0,0,0,0,0,0,0,0,0
i suppose i can begin with my not eating yet i am eating overeating actually which my belt has been cruel to remind me but i feel so isolated from and doing it only out of boredom,373812,0,1,0,0,0,0,0,0,0,0,0,0
i know in the modern world people change jobs all the time for random reasons a little more money a shorter commute benefits boredom feeling generally dissatisfied or unappreciated,382219,0,1,0,0,0,0,0,0,0,0,0,0
ive realized the adult is actually more annoying than the child the kid is usually motivated through boredom and feels they are being tortured,386143,0,1,0,0,0,0,0,0,0,0,0,0
i feel is listless boredom,389477,0,1,0,0,0,0,0,0,0,0,0,0
i have a very low boredom threshold and i like to feel that i can escape from tedium any time i feel like it by a clever tactical retreat involving my car or public transport,390829,0,1,0,0,0,0,0,0,0,0,0,0
i think i associate not having the coffee with a feeling of boredom or of things being dull and uneventful,396421,0,1,0,0,0,0,0,0,0,0,0,0
i do not feel mournful of this for its own sake but for the sake of a desire to feel mournful as an alternative to a moment of boredom,397685,0,1,0,0,0,0,0,0,0,0,0,0
i was forever trapped in a monotonous cycle of work and abuse both potentially occurring simultaneously if limpdick was feeling particularly savage that day despite having nothing in my life keeping me tethered to such monotony,399287,0,1,0,0,0,0,0,0,0,0,0,0
i cant feel myself my heart is so aching and the boredom i should say is digging deeper inch by inch,407025,0,1,0,0,0,0,0,0,0,0,0,0
marriage crises boredom,425042,0,1,0,0,0,0,0,0,0,0,0,0
i feel suffocated when im part of something dull safe convention makes my brain scream in boredom,427651,0,1,0,0,0,0,0,0,0,0,0,0
i glimpsed that boredom and loss of impetus can arise when feeling uncertain of your goals,428021,0,1,0,0,0,0,0,0,0,0,0,0
i need to do for work tomorrow feeling burdened by the tedium of the mundane world wishing for something or someone to appear and have a conversation with me about magick tarot wands spells meditation etc,428592,0,1,0,0,0,0,0,0,0,0,0,0
i like a challenge when i feel like i m doing something productive or working towards an achievement i do not like a challenge when it s a battle between staying focused and positive or all too easily plummeting into boredom frustration and uselessness,433333,0,1,0,0,0,0,0,0,0,0,0,0
i was influenced by some friends and the boredom i somerimes feel for not being so creative lately,448658,0,1,0,0,0,0,0,0,0,0,0,0
i too feel this even now this longing to read read read despite my boredom of it just to say i have done this,464408,0,1,0,0,0,0,0,0,0,0,0,0
i indulge that boredom by browsing the internet or doing insane things that just pass the time but leave me feeling disappointed that i didnt accomplish anything,467726,0,1,0,0,0,0,0,0,0,0,0,0
i mention this because it means rather than the anger this issue would have induced had i still given a crap i just feel aching boredom,471798,0,1,0,0,0,0,0,0,0,0,0,0
i speak of is your overwhelming feeling of boredom though i am uncertain that that darkness have ever left you,490870,0,1,0,0,0,0,0,0,0,0,0,0
i feel so cooped up amp annoyed at the monotony of my every day life but i feel like there is no way to change the direction that i have chosen,497059,0,1,0,0,0,0,0,0,0,0,0,0
i am going through a period where i have been there done that with my natural hair and i feel a little frustrated actually more like frustrated with boredom,505206,0,1,0,0,0,0,0,0,0,0,0,0
i was feeling exhausted and shear boredom to do anything else i would commonly flip on the tv internet or radio sit back in the chair and veg for a good hour or so,520544,0,1,0,0,0,0,0,0,0,0,0,0
i still feel a dull monotony of life working on that day and night,536076,0,1,0,0,0,0,0,0,0,0,0,0
i was writing and feeling frustrated experiencing a lot of tedium in the process when i remembered to write down what i was actually thinking rather than what i thought i should be writing about and thinking about,540082,0,1,0,0,0,0,0,0,0,0,0,0
i had a feeling that everythings got a lot boring but ive found ways to tackle the boredom by interactive methods most important being practicality,540811,0,1,0,0,0,0,0,0,0,0,0,0
i am bored a lot but i also feel like my boredom is a valuable asset,545260,0,1,0,0,0,0,0,0,0,0,0,0
i am relieved but now burden with the thing called boredom which is in a sense odd seeing that i do not have a heart thus should not be able to feel petty things like that,557970,0,1,0,0,0,0,0,0,0,0,0,0
i feel like my good friend narcissism might have something to do with that well that and a spoonful of boredom,562801,0,1,0,0,0,0,0,0,0,0,0,0
i am someone who needs to be challenged and stimulated otherwise i quickly become bored and the boredom soon moves into overthinking which then leads to feeling low if im not careful,563641,0,1,0,0,0,0,0,0,0,0,0,0
i feel the blank bareness and boredom,589062,0,1,0,0,0,0,0,0,0,0,0,0
im again feeling like ive been tortured by boredom i shall write some crap,594139,0,1,0,0,0,0,0,0,0,0,0,0
i feel like i am going at a snail pace everything has slowed around me and the discomfort and boredom of the boring straight canal has started to play on my mind,606847,0,1,0,0,0,0,0,0,0,0,0,0
i feel was largely ignored in the material i read this am is boredom,608484,0,1,0,0,0,0,0,0,0,0,0,0
i get it out for a sniff when i feel jaded by my surroundings on the move or when i m momentarily struck by boredom at home,610185,0,1,0,0,0,0,0,0,0,0,0,0
i am still bored but im starting to think it might not be just work or more likely that the boredom my mind is in during work hours has created a habit of mental state and i feel dissatisfied generally,618214,0,1,0,0,0,0,0,0,0,0,0,0
i already start to feel the tedium of post holiday austerity and i am thrilled to find phoebe slice and crumble her way into a january meal with a shiitake dish that is a little apart from the same old same old,619662,0,1,0,0,0,0,0,0,0,0,0,0
i feel insincere like a fake like that any moment the student will be able to see through the veil of politeness i wear over my extreme boredom,623236,0,1,0,0,0,0,0,0,0,0,0,0
i have more than enough to keep myself busy almost too much in fact but i cant help feel dissatisfied with the monotony of day to day life,626475,0,1,0,0,0,0,0,0,0,0,0,0
im again feeling like ive been tortured by boredom i shall write some crap,638550,0,1,0,0,0,0,0,0,0,0,0,0
ive realized the adult is actually more annoying than the child the kid is usually motivated through boredom and feels they are being tortured,649206,0,1,0,0,0,0,0,0,0,0,0,0
i is not the illness of the boredom of not having anything to do but the more serious illness of feeling that it s not worthwhile doing anything,655625,0,1,0,0,0,0,0,0,0,0,0,0
i sat down to watch the opening ceremony last night feeling curious but expecting boredom or disappointment,665142,0,1,0,0,0,0,0,0,0,0,0,0
i wanted to go back to the house i had brought my laptop with me and hoped that it would solve my lonely boredom and i kept hinting that i was feeling ignored and bored but they continued their frolic through the rainy town me following in a slump,673858,0,1,0,0,0,0,0,0,0,0,0,0
i guess my boredom also stemmed from feeling dissatisfied,684295,0,1,0,0,0,0,0,0,0,0,0,0
i feel like i am angry all the time that i resent my family and that all i really want to do is get out of my house my minivan the monotony,685125,0,1,0,0,0,0,0,0,0,0,0,0
i feel i should use my boredom in a more productive manner and not just numb my brain with endless advertisements telling me what to spend my hard earned money on and horrific dumbed down tv programmes that drain my intelligence every second i mindlessly conform to watching them,698902,0,1,0,0,0,0,0,0,0,0,0,0
i was starting to feel anxious and trapped as i have been in a car for too much time over the past three months so i decided to break up the monotony by playing golf,702878,0,1,0,0,0,0,0,0,0,0,0,0
im not sure if kevin was struck with momentary insanity or absolute boredom or was feeling especially benevolent to his year old daughter but he agreed to watch high school musical even though he found high school musical excruciating to watch,707196,0,1,0,0,0,0,0,0,0,0,0,0
i feel vain when i do a ton of self portraits too but theyre usually out of boredom,715314,0,1,0,0,0,0,0,0,0,0,0,0
i like it although the mood is mellow and just a while ago i was feeling a bit disturbed mainly because of boredom,719490,0,1,0,0,0,0,0,0,0,0,0,0
i still think we need to talk about feelings and depression and boredom and withdrawl from people symptoms that my mom is exhibiting but then again maybe i will just ask her directly how she is feeling and not shy away from telling her what i am observing or worried about,722375,0,1,0,0,0,0,0,0,0,0,0,0
i wish i didnt feel so doomed to boredom and loneliness,723907,0,1,0,0,0,0,0,0,0,0,0,0
i want that chance to feel shaken out of the dull tedium of daily living,730971,0,1,0,0,0,0,0,0,0,0,0,0
i feel like an ugly teddy bear you took the stuffing from in boredom but maybe someone will come by and find a puppet cram a flashlight in the hole in me to say i glow or blow some other smoke up my ass,742123,0,1,0,0,0,0,0,0,0,0,0,0
i don t mind so much because it kinda breaks the monotony but i feel it s just sooo lame for the kids to be having tests all morning and then oh,742432,0,1,0,0,0,0,0,0,0,0,0,0
i need to feel productive cruising sounds tiresome in its monotony,742538,0,1,0,0,0,0,0,0,0,0,0,0
i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my,744767,0,1,0,0,0,0,0,0,0,0,0,0
i honestly just feel too awful to work but i really need to start saving money and i know ill go crazy with boredom,756269,0,1,0,0,0,0,0,0,0,0,0,0
i also feel rather resigned to the monotony and broken record feeling that i get during the weekdays,768745,0,1,0,0,0,0,0,0,0,0,0,0
i feel when i m out there for a super long run loneliness boredom goofiness super mood swings peace focus confidence the list goes on and for every runner it is different,778804,0,1,0,0,0,0,0,0,0,0,0,0
i feel its important to continue the engagement in the summer or maybe its simply out of sheer boredom but this summer cruz and i have started school,780064,0,1,0,0,0,0,0,0,0,0,0,0
i feel cold and stick and icky and all i want to do is go home and sleep but i can t because i have to be at work even though there isn t any work to do and there hasn t been all week and i m going insane from boredom,780490,0,1,0,0,0,0,0,0,0,0,0,0
i can feel rest assured that a hospital is just a walking distance away in case i fail to kill myself due to boredom,782505,0,1,0,0,0,0,0,0,0,0,0,0
i suppose i can begin with my not eating yet i am eating overeating actually which my belt has been cruel to remind me but i feel so isolated from and doing it only out of boredom,790621,0,1,0,0,0,0,0,0,0,0,0,0
i know in the modern world people change jobs all the time for random reasons a little more money a shorter commute benefits boredom feeling generally dissatisfied or unappreciated,799028,0,1,0,0,0,0,0,0,0,0,0,0
ive realized the adult is actually more annoying than the child the kid is usually motivated through boredom and feels they are being tortured,802952,0,1,0,0,0,0,0,0,0,0,0,0
i feel is listless boredom,806286,0,1,0,0,0,0,0,0,0,0,0,0
i have a very low boredom threshold and i like to feel that i can escape from tedium any time i feel like it by a clever tactical retreat involving my car or public transport,807638,0,1,0,0,0,0,0,0,0,0,0,0
i think i associate not having the coffee with a feeling of boredom or of things being dull and uneventful,813230,0,1,0,0,0,0,0,0,0,0,0,0
i do not feel mournful of this for its own sake but for the sake of a desire to feel mournful as an alternative to a moment of boredom,814494,0,1,0,0,0,0,0,0,0,0,0,0
i was forever trapped in a monotonous cycle of work and abuse both potentially occurring simultaneously if limpdick was feeling particularly savage that day despite having nothing in my life keeping me tethered to such monotony,816096,0,1,0,0,0,0,0,0,0,0,0,0
i cant feel myself my heart is so aching and the boredom i should say is digging deeper inch by inch,823834,0,1,0,0,0,0,0,0,0,0,0,0
im so excited but feeling kind of shy about it smile,169,0,0,1,0,0,0,0,0,0,0,0,0
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,173,0,0,1,0,0,0,0,0,0,0,0,0
im feeling so excited and eager,360,0,0,1,0,0,0,0,0,0,0,0,0
i find that i never stop feeling excited for our company s future,362,0,0,1,0,0,0,0,0,0,0,0,0
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,406,0,0,1,0,0,0,0,0,0,0,0,0
i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education,711,0,0,1,0,0,0,0,0,0,0,0,0
i feel eager to tell my parents,750,0,0,1,0,0,0,0,0,0,0,0,0
i feel eager and anxious and antsy in regards to it,765,0,0,1,0,0,0,0,0,0,0,0,0
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,874,0,0,1,0,0,0,0,0,0,0,0,0
i remember feeling excited about that particular day because i considered myself a grown up and woop,912,0,0,1,0,0,0,0,0,0,0,0,0
i am also in an exciting space i have to admit i am feeling curiously excitedly optimistic about the future,1129,0,0,1,0,0,0,0,0,0,0,0,0
i feel so excited about it,1249,0,0,1,0,0,0,0,0,0,0,0,0
i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud,1262,0,0,1,0,0,0,0,0,0,0,0,0
i also did feel like i was excited to come back like i have two homes now,1265,0,0,1,0,0,0,0,0,0,0,0,0
im so excited but feeling scared too,1351,0,0,1,0,0,0,0,0,0,0,0,0
i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,1450,0,0,1,0,0,0,0,0,0,0,0,0
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,1526,0,0,1,0,0,0,0,0,0,0,0,0
i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,1605,0,0,1,0,0,0,0,0,0,0,0,0
i remember waking up feeling anxious and excited to read the bible its amazing how god will change your desires,1631,0,0,1,0,0,0,0,0,0,0,0,0
i feel very excited for my familys future,1715,0,0,1,0,0,0,0,0,0,0,0,0
i guess i just need to see how it goes so while im feeling very nervous im also very excited,1760,0,0,1,0,0,0,0,0,0,0,0,0
i was feeling eager to press on,1795,0,0,1,0,0,0,0,0,0,0,0,0
i actually just feel really eager,1936,0,0,1,0,0,0,0,0,0,0,0,0
i taught him what it can look like and how it could make him feel scared confused excited nervous,1951,0,0,1,0,0,0,0,0,0,0,0,0
i was feeling over eager and hopped on to the tube to ride the eye of london,2088,0,0,1,0,0,0,0,0,0,0,0,0
i sat down at the computer feeling nervous excited and more than a little silly,2127,0,0,1,0,0,0,0,0,0,0,0,0
i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear,2162,0,0,1,0,0,0,0,0,0,0,0,0
i would feel so excited waiting for the mailman to come to our house handing me these letters,2188,0,0,1,0,0,0,0,0,0,0,0,0
i think i was feeling so excited today,2225,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling excited and also nervous worrying about all the little details and hoping that our first day goes well,2432,0,0,1,0,0,0,0,0,0,0,0,0
i want them to feel eager to attend a amp m i want them to feel like they belong,2609,0,0,1,0,0,0,0,0,0,0,0,0
i should be feeling eager to leap into stash of fabric and make something,2636,0,0,1,0,0,0,0,0,0,0,0,0
ive gone through stages of nervousness and sheer terror but now i am feeling relaxed and excited,2776,0,0,1,0,0,0,0,0,0,0,0,0
i am so relieved and excited and i feel confident again,2786,0,0,1,0,0,0,0,0,0,0,0,0
im really excited for her birthday but feeling super nostalgic about it,2849,0,0,1,0,0,0,0,0,0,0,0,0
i feel pretty eager to get it done as i have a fun plan for quilting it,2856,0,0,1,0,0,0,0,0,0,0,0,0
i feel excited about what im doing again i feel like i have a ton of catching up to do,2908,0,0,1,0,0,0,0,0,0,0,0,0
im so excited but at the same time i feel a little nervous,2943,0,0,1,0,0,0,0,0,0,0,0,0
i feel really honored and excited to have met her,2998,0,0,1,0,0,0,0,0,0,0,0,0
i dont know how to explain it very well its like i am happily bobbing along exploring an abstract universe all on my own but when i make contact with something i get excited and happy and i feel satisfied like ive formed a special bond with whatever ive encountered,3090,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling so excited for many of the bloggers i follow who are anxiously bearing through a ww of the first few weeks of pregnancy,3175,0,0,1,0,0,0,0,0,0,0,0,0
i knew i wanted to somehow include the idea of natural healing and holistic living but the site is also about feeling radiant vibrant and enthusiastic about life at any age,3307,0,0,1,0,0,0,0,0,0,0,0,0
a certain friend tried to push me off a seat in a very violent way for no apparent reason it may be that he was excited about something,3353,0,0,1,0,0,0,0,0,0,0,0,0
i feel energized and eager to write tomorrow,3440,0,0,1,0,0,0,0,0,0,0,0,0
i feel this strange shift between us the heat between us intensifying and i get excited my nerves bubbling up inside me,3495,0,0,1,0,0,0,0,0,0,0,0,0
i want to be able to declare how excited i am in the most sickening sing songy voice that anyone has ever heard but frankly i feel more terrified than anything,3639,0,0,1,0,0,0,0,0,0,0,0,0
i have the distinct sickening feeling he paused glancing up at kakashi and the rest of his eager audience that i m going to regret this,3797,0,0,1,0,0,0,0,0,0,0,0,0
im feeling a bit apprehensive but excited as well,3935,0,0,1,0,0,0,0,0,0,0,0,0
i feel he was eager to help,3949,0,0,1,0,0,0,0,0,0,0,0,0
i want to get up in the mornings feeling excited about going to work instead of wanting to hit the snooze button,3990,0,0,1,0,0,0,0,0,0,0,0,0
i remember sitting in class actually feeling eager to learn a amp p,4074,0,0,1,0,0,0,0,0,0,0,0,0
i feel so eager now to please,4083,0,0,1,0,0,0,0,0,0,0,0,0
im supposed to be excited about my tattoo today but instead all im feeling is pissed off,4116,0,0,1,0,0,0,0,0,0,0,0,0
im going to go do my anti dance flow now and if i feel eager since ill be on the mat anyhow i might even do a few circuits of grow a spine,4222,0,0,1,0,0,0,0,0,0,0,0,0
ive to admit im feeling excited yet so unprepared for the surgery,4317,0,0,1,0,0,0,0,0,0,0,0,0
i feel inspired and eager to press on when the sun shines,4440,0,0,1,0,0,0,0,0,0,0,0,0
i can feel it and look with eager anticipation for what is to come,4598,0,0,1,0,0,0,0,0,0,0,0,0
i feel very happy and excited since i learned so many things,4721,0,0,1,0,0,0,0,0,0,0,0,0
i feel this way i know it has a reputation for a student population eager to join this culture but somehow i doubt its just northwestern,4723,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling super excited as the weeks seem to be flying by and we are getting closer and closer to our due date,4785,0,0,1,0,0,0,0,0,0,0,0,0
im feeling quite excited because i get to introduce you to my newest fabulous sponsor,4798,0,0,1,0,0,0,0,0,0,0,0,0
i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent,4861,0,0,1,0,0,0,0,0,0,0,0,0
i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,4901,0,0,1,0,0,0,0,0,0,0,0,0
i feel with aconfident heart i can be the overcomet that god wants me to be so i am eager to learn,4981,0,0,1,0,0,0,0,0,0,0,0,0
i thought i should be excited that im starting work but im feeling reluctant as ever,5014,0,0,1,0,0,0,0,0,0,0,0,0
i once knew a quaker who announced quite excitedly that he was feeling absolutely wonderful because for a period of about a fortnight nothing much had been happening in his brain,5175,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling terrified anxious excited and apprehensive among a million other things,5181,0,0,1,0,0,0,0,0,0,0,0,0
i am designing games it really makes me feel excited,5201,0,0,1,0,0,0,0,0,0,0,0,0
i keep wondering why im hitting walls of grief and loss even while im having fun or feeling excited or enjoying some wonderful friends and pre summer time experiences,5207,0,0,1,0,0,0,0,0,0,0,0,0
ive been feeling a little bit anxious of late as far as my relations or lack thereof with some of the ward and some of the investigators go so im excited to be able to ponder that in the temple and see if i can come up with a plan with the lords help,5213,0,0,1,0,0,0,0,0,0,0,0,0
i feel excited about something that is soley for me here is the video about it,5378,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling is also a blossoming eager anxiety,5484,0,0,1,0,0,0,0,0,0,0,0,0
i feel more like the girl i was when i was at i was fearless excited for life and discovery,5488,0,0,1,0,0,0,0,0,0,0,0,0
im excited to get home and spend time with everyone please feel free to email call or text and let me know if youre available for dinner or coffee or anything,5527,0,0,1,0,0,0,0,0,0,0,0,0
i was around and feeling fearless and excited,5610,0,0,1,0,0,0,0,0,0,0,0,0
i feel invigorated and enthusiastic,5786,0,0,1,0,0,0,0,0,0,0,0,0
i have the emotions but have learned that to feel them to let myself become agitated or excited means that my heart and heat jumps the regulated limits of what can be sustained,5822,0,0,1,0,0,0,0,0,0,0,0,0
i still feel like a kid eager to blow the candle open gifts and all that good stuff,5837,0,0,1,0,0,0,0,0,0,0,0,0
i feel like ecstatic i feel joy i feel love and particularly all the devotees have come and that mood is also eagerly moving moving and moving said andri a visitor from abroad,5842,0,0,1,0,0,0,0,0,0,0,0,0
i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,5853,0,0,1,0,0,0,0,0,0,0,0,0
i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,5951,0,0,1,0,0,0,0,0,0,0,0,0
i feel like i have been eager to get my undergrad finished for the last three years,6126,0,0,1,0,0,0,0,0,0,0,0,0
i was feeling somewhat excited about the graduation ceremony which will start at pm,6189,0,0,1,0,0,0,0,0,0,0,0,0
i feel eager for things to really start happening,6221,0,0,1,0,0,0,0,0,0,0,0,0
i was so excited and it came at the perfect time when i was feeling a little homesick,6237,0,0,1,0,0,0,0,0,0,0,0,0
i began to feel eager to leave i felt uncomfortable like an elevator at rush hour,6307,0,0,1,0,0,0,0,0,0,0,0,0
i say compassion which make me willing to return to martyrs whereas i never feel myself eager to play more funny games,6472,0,0,1,0,0,0,0,0,0,0,0,0
i am in that shoe i know the feeling and how excited it is to commemorate our childs one year milestone,6562,0,0,1,0,0,0,0,0,0,0,0,0
i started out super excited to see all the kids and do the crafts w them but by the end of the week i was feeling a little resentful toward all those blessed parents,6576,0,0,1,0,0,0,0,0,0,0,0,0
i remember going to nyc and not feeling very excited and being shocked that i was quite blas about the whole trip,6788,0,0,1,0,0,0,0,0,0,0,0,0
i hate it when i feel so eager to shop spend then even if i bought things that i like i kinda regret cos i bought a bunch of things,7059,0,0,1,0,0,0,0,0,0,0,0,0
i cant help but to imagine myself wrap in those precious masterpieces feeling cool and warm at the same time getting excited for no reason and get a boost of confidence even though im actually a life coyote cartoon,7125,0,0,1,0,0,0,0,0,0,0,0,0
im excited to feel the special spirit she will bring to our home,7275,0,0,1,0,0,0,0,0,0,0,0,0
i feel deeply appreciative of this and so excited to see them,7347,0,0,1,0,0,0,0,0,0,0,0,0
i should take more initiative and feel more excited about this project that i am working on,7404,0,0,1,0,0,0,0,0,0,0,0,0
i just found myself never feeling eager to wear them so back they went,7431,0,0,1,0,0,0,0,0,0,0,0,0
i chose to trust that these feelings and beliefs are being resolved on a deep level and cheer on that larger part of me ready and eager to change,7631,0,0,1,0,0,0,0,0,0,0,0,0
i was feeling proud of myself when i had finished it and felt eager to present it to the class,7642,0,0,1,0,0,0,0,0,0,0,0,0
i feel strongly for a lot of their principles but ive not devoted a lot to learning this path so im excited to be presented this opportunity,7749,0,0,1,0,0,0,0,0,0,0,0,0
im really feeling eager to get everything filed so that it can be processing,7756,0,0,1,0,0,0,0,0,0,0,0,0
i go to bed feeling excited just thinking about waking up and getting to have breakfast again,7762,0,0,1,0,0,0,0,0,0,0,0,0
im feeling eager to get to the gym and workout,7809,0,0,1,0,0,0,0,0,0,0,0,0
i wish i were more excited about it all but i just feel a bit reluctant about full time work again,7979,0,0,1,0,0,0,0,0,0,0,0,0
i feel overwhelmed and excited for the future,8139,0,0,1,0,0,0,0,0,0,0,0,0
i feel that less gave me insights i m excited about as well as a whole bunch more stuff to learn about,8157,0,0,1,0,0,0,0,0,0,0,0,0
im also feeling excited about the possibilities of what home as a place means,8214,0,0,1,0,0,0,0,0,0,0,0,0
i feel that the eager souls in us wanted to know what next,8236,0,0,1,0,0,0,0,0,0,0,0,0
im excited again and not feeling the least bit tortured by robert even his message didnt rattle me,8253,0,0,1,0,0,0,0,0,0,0,0,0
i am weeks days today shit just got real i feel like she is finally almost here with only weeks left i am just getting so excited and nervous for life with two girls,8282,0,0,1,0,0,0,0,0,0,0,0,0
im so excited and starting to feel a little bit nervous,8403,0,0,1,0,0,0,0,0,0,0,0,0
i am excited just to feel out of touch pissed off or misunderstood,8557,0,0,1,0,0,0,0,0,0,0,0,0
i just feel so vulnerable to it yet so excited to be in this situation,8591,0,0,1,0,0,0,0,0,0,0,0,0
im feeling angry betrayed jealous flattered or excited then im going to say it,8605,0,0,1,0,0,0,0,0,0,0,0,0
i feel eager at times and so angry at myself,8732,0,0,1,0,0,0,0,0,0,0,0,0
i feel like the lord has been preparing me for all that he has for me and i am so excited,8745,0,0,1,0,0,0,0,0,0,0,0,0
i was eager to try them on and feel super special,8764,0,0,1,0,0,0,0,0,0,0,0,0
i feel very very excited to dive into,8765,0,0,1,0,0,0,0,0,0,0,0,0
i cant afford to buy a trip to anthropologie leaves me feeling invigorated and excited,8859,0,0,1,0,0,0,0,0,0,0,0,0
i want him to feel excited about his lunch,8887,0,0,1,0,0,0,0,0,0,0,0,0
i have definitely enjoyed every bite i have had today and already feel excited about all the new foods i am going to finally let myself eat because she says it s ok which is all i really needed,8922,0,0,1,0,0,0,0,0,0,0,0,0
i get excited when i see an outfit that i think i might actually be able to recreate cheaply and feel comfortable wearing,8963,0,0,1,0,0,0,0,0,0,0,0,0
im very excited about that i cant help but feel somewhat heartbroken at what would have been,9153,0,0,1,0,0,0,0,0,0,0,0,0
im neither fearful or excited but feel somewhat like a casual observer to my own life standing on the sidelines just watching amazed that so much change can take place in such a short period of time,9215,0,0,1,0,0,0,0,0,0,0,0,0
i feel very excited about the future of gaming right now,9693,0,0,1,0,0,0,0,0,0,0,0,0
i love the poisitions that i could aim to be the writing is more creative and i keep feeling eager to learn more and more,9719,0,0,1,0,0,0,0,0,0,0,0,0
i finished my mile run feeling a little mentally defeated a little more eager to figure out what works for me nutritionally and not nearly as physically exhausted as i had expected by the increase in miles,9726,0,0,1,0,0,0,0,0,0,0,0,0
i feel bad that im excited for this lecture but i feel like i know it,9835,0,0,1,0,0,0,0,0,0,0,0,0
i feel really honored and excited to have met her,9857,0,0,1,0,0,0,0,0,0,0,0,0
im running and happy and my legs feel good and im excited to see what this crazy loop is all about,9883,0,0,1,0,0,0,0,0,0,0,0,0
i am excited grateful feeling more confident and less trapped in the house,9898,0,0,1,0,0,0,0,0,0,0,0,0
